nama orang,geb/overl.,organ.,werkgebied en -soort,werkperiode,bijzonderheden,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,id
"Benthem Jr., J. van, zdl (N)",1890-1968,NZV,Pangharepan (WJava),1913-1918,,~ Gesina Willemina van de Weg (1892-1972),,,Sukabumi,1918-1920,,,,,Pangharepan (WJava),1920-1922,,,,,"Bandung, hoofd Zd-internaat",1922-1923,verlof 1923-24,,,,Cirebon,1924-1926,,,,,"Bandung, dir. MULO en hoofd Zendingsinternaat",1926-1932,lichamelijk ongeschikt voor de tropen verklaard,,,,,,,95
"Berends ten Kate, B., ond., zie Kate, B. Berends ten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96
"Berg, Jelle, arts (N)",1895-1982,ZGKN-S,"Waikabubak, Sumba, Zzh",1925-1930,"GZbl 1924, 110",~ 1924 G. Miedema †1994,,,"Waikabubak, Sumba, Zzh",1933-1946,1942-45 Japanse internering,,,,Makassar en Sumba,1946,> schoolarts in NL,,,,,,,,,,,,,,,,,,,,,,,,,97
"Berg, E.J. van den, zdl (N)",1873-1955,NZG,"Sibolangit (Deli), zdl.",1903-1905,Zie NZblad 1941-5,~ 1903 Johanna Hendrica van der Pol † 1940,,,Kabanjahe (Deli),1905-1916,verlof 1913-14,,,,Kuta-Jurung/Serdang (Deli),1916-1918,,,,,Gunung Meriah (Deli),1918-1922,verlof 1922-23,,,,Kabanjahe (Deli),1923-1935,verlof 1931-32,,,,,,,,,,,,,98
"Berg, H.W. van den, zdl (N)",1895-1945,NZG,Bondowoso (OJava),1925-1932,,~ 1927 Joh. Schoondermark † 1987,,,Parerejo (OJava),1932-1934,verlof 1934-36,,,JC,Jember,1936-1942,† in Japanse internering,,,,,,,,,,,,,,,,,,,,,,,,,99
"Berg, W.H. van den, zdl (N)",1897-1966,A'dam/BM,Kasongan (Zuid-Kalimantan),1928-1942,Classis A'dam/BM,~ C. van der Bijl † ± 1980,,,Jap. internering,1942-1945,> pred. NHK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
"Berger, Carl (D)",1875-1947,RMG,"Z-Kalimantan, nam ontslag",1903-1905,> pred. in Noord-Amerika,~ Alma .. (1876-1954),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101
"Berger, Heinrich Julius (D)",-1845,Halle/,Zuid-Kalimantan,1842-1845,"Cma 505-506, Alm. 1846.","~ 1838 Bogor, Sophie Kritzler",,RMG ,,,weduwe terug naar Dld 1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102
"Berghäuser, Heinrich, zdl. (D)",1906-1999,RMG,Butar (Tapanuli),1934-1940,,~ 1935 Martha Rumpf † 1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103
"Bernard, William J. (GB)",1866-1945,Pent.,"Temanggung, gemeentevoorg.",1922-1925,Engels zakenman,~ (1)  ... † 1912 ,,,,,repatriëring wegens ziekte,~ (2) 1914 Marie Henr. Blekkink (1882-1932),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104
"Bertsch, mw. K. (D)",1890/1-1982,STC,"Tahuna (Sangir), hoofd asr. HIS",1921-1936,verlof 1928-29. Ex-BM,,,,Tahuna (Sangir) hoofd hh Zzh,1936-1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105
"Bervoets, dr. H., arts (N) ",1867/8-1933,NZG,Mojowarno (Oost-Java),1894-1905,IM NZblad 1933-10,~ 1894 L.L. van Ewijck † 1932,,DZV,Pati (Midden-Java),1905-1933,"Jensma 73, 76-85, 108-9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106
"Best, Cornelis de, zdl. (N)",1837-,CAG,Suriname,1863-1865,Algra 10-11,~ (1) 1865 Egberdina Marg/ Kroeze † 1871,,CAG,Ungaran (Midden-Java),1866-1867,"> pred. te Geesteren (Gld), Til-",~ (2) 1872 Antje Nijdam † Agustus 1873,,,,,"burg, Brussel, Chicago",~ (3) Des. 1873 Trientje Luitjes † 1887 te Chicago,,,,,,,,,,,,,,,,,,,,,,,,107
"Bettink (Betting), H., zdl (N)",1840-1916,NZG,"Tondano (Min), o.a. drukkerij",1867-1871,Kruijf 401v,~ 1869 Heiltje van Hattem (1844-1917),,,Tanawangko (Minahasa),1871-1878,,,,,ziekteverlof,1878-1879,> hp in NL,,,,,,,,,,,,,,,,,,,,,,,,,108
"Betz, Alfred (D), zdl., (D)",1905-1976,RMG,Nias,1931-1936,,~ 1932 Magdalena Heisterhagen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109
"Betz, Fred. Willem, zdl. (N)",1832-1881,Erm./RMG,Noord-Sumatra,1859-1868,"Cma 307, 321v",~ 1858 Alida Mindera † 1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110
"Betz, Gottlieb M.C.Ch., zdl. (D)",1874-1947,RMG,Noord-Sumatra,1901-1908,,~ Emma Möhring † 1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111
"Betz, mw. Mimi, ond. (N)",,NZV,Garut (WJava),± 1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112
"Beukhof, J., zwm (N)",1830-1900,GIUZ,Batavia,1861-1865,Reenders 234,~ 1861 Gerarda van Elst † 1901,,,Depok (WJava) > hp,1865-1874,1874 naar NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113
"Beunders, Henri P.G., ond., (N)",1878-1956,NZG,"Tomohon (Min), dir. School ",1910-1915,,~ 1903 L.J. Brinkman † 1934,,,voor dochters van aanzienlijken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114
"Beyer, August Wilhelm (D)",1815-1882,RMG,Zuid-Kalimantan,1848-1859,> Pred. in Ddl,~ (1847/48) ..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115
"Beyer, Carl Aug. Hermann, zwm (D)",±1840-1918,ZWM/UZV,Papua,1865-1867,"Reenders 335, 375. † Ternate",~ (1) Ternate 1868 Louisa Priegelaar † 27-1-1908,,,Meoswar (Papua),1867-1868, 21 Mei 1918,~ (2) Ternate 28-10-1908 Sophia van Ahee,,,"Doreh (""Christen-koopman"")",1869-1879,"* 1910 J.G.H. Beijer, † 1945 te Barneveld, arts",,,,"Ternate, agent UZV",1879,,,,,,,,,,,,,,,,,,,,116
"Beyer, R. (D), zwm (D)", -1871+,ZWM/UZV,Papua,1866-1867,"Reenders 335, 375",~ Jan. 1868 Anna Cambier † 3 Juni 1868,,,Roon (Papua),1867-1868,> Dld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117
"Bezemer, Tammo Jacob, zdl (N)",1869-1944,NZG,"Semarang (MJ), nam ontslag",1891-1892,"> hoogl, Wageningen en RUU",~ ±1897 Fennij Melia Hauff (1871-1939),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118
"Bieger, Johannes Nicolaas, zdl. (N)",1877-1967,RMG,Noord-Sumatra,1911-1921,"z.v. Philippus Bieger, * Tegal",~ 1908 Hedwig Dehnert † 1960,,,,,"(WJava), ~ op Nias",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119
"Bieger, Phil., zdl (N)",1841-1911,NGZV,Tegal (MJava),1871-1878,"Kruijf 203v, 577, 668","~ (1) Clara Rothpletz (geb. Zwits. 1844,  † 1871)",,NGZV,Purworejo (MJava),1878-1884,1886 eervol ontslag,~ (2) 1873 Maria Sylvius,,NZG,Sawu,1888-1890,Reenders MJ 858v,,,NZG,Kediri > nam ontslag,1890-1898,† te Yogya,,,,,,,,,,,,,,,,,,,120
"Bielefeld, Carl, zdl. (D)",1878-1966,RMG,Noord-Sumatra,1904-1914,,~ 1904 Gabriela Anna Maria Hak,,,,,~ Sibolga 23-11-1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121
"Bielski, zr. Alice I. (VS)",1882-1944?,EpMeth,"Cisarua, WJava, verpleegster",1919-1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122
"Bierdrager, Jacob, arts (N)",1903-1984,UZV,"Serui (Yapen, Papua) > BPM ",1932-1935,"Dake 32/44; NTVG 127 (1983), ",~ 1929 Dida Martina Boesveld,,,1956-63 > Dir. Jaw. Kesehatan NNG > World Health Org.,,"no. 30, p. 1360-61. DMB: geb. te Yogya. 1936 gescheiden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123
"Bierhuys, M. (N)",,ZGKN-MJ,"Purwokerto, Zzh",±1937-1939,> admin. zh te Batavia (Cikini?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124
"Bierkuis, mw. L., ond. (D)",,NM/SZ,Blora,±1918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125
"Biersteker, zr. Jannetje, (N)",1903-1971,SZ,"Purwodadi, verpl. Zzh",1937-±1940,"EndSumba 837, RA 1938vv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126
"IM GZbl 1971, 138",,ZGKN-MJ,"Purworejo, verpleegster",1940-1942/3,> Japanse internering,,,ZGKN-S,"Sumba, verpleegster",1946-1958,"> NL, ~ 1965 N. Sybesma",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127
"Biezen, A. van der, ond. (N)",1901-1930,STC,† te Batavia onderweg naar ,1930,IM NZblad 1931-4,~ 1930 Grietje van Rhenen,,,arbeidsterrein,,GvR hertrouwt 1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
"Bigler, W., zdl. (Zwits.)",1903-1976,BM,Puruk Cahu (Z-Kal.),1932-±1939,1944-45 in Jap. internering,~ 1933 L. Jordi *1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129
"Bijkerk, J., ond. (N)",,NZG,"Mojowarno (OJava), hoofd HIS",1923-1926,"> verlof, > overheidsschool",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130
"Bijkerk, Jac., zdl (N)",1887-1978,UZV,Mansinam (Papua),1915-1916,,~ 1915 Engelina Karres † 1974,,,Kwawi/Hollandia (Papua),1916,verlof 1923-1924,,,,Nimboran (Papua) + wnd pred.,1924,verlof 1931-1932,,,,"Miei (Papua), kweekschool",1932?-1939,"verlof Juli 1939, kan niet terug",,,,,,,,,,,,,,,,,,,131
"Bijl, zr. Jansje (N)",1896-1946+,ZGKN-MJ,"Yogya, hoofdverpl. Zzh",1934-1942/3,"GZbl 1934, 22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132
"Bijl, Adr. van der, ond. (N)",1898-1945,RMG,"Sigumpolon, hoofd HIS",1921-1944,,~ 1921 Sijtje Anna Marg. Schaap † 1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133
"Bijlefeld, Jan, zdl. (N)",1895-1934,UZV,"Tobelo (Halm/), Ambacht­ssch.",1918-1931,verlof 1927-28,~ 1918 Johanna van Dijk † 1993,,,"Morotai (Halm.), kokosplantage",1931-1933,IM NZblad 1934-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134
"Bijsterveld, Arie, arts (N)",1898-,ZGKN-MJ,"Kebumen, Zzh, verv. A.H. Vonk",1927-1928,"GZbl 1927, 174",~ 1926 Gerarda Betsy Schipper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135
"Bikker, ds. A. (N)",1898-1977,ZCGK,Mamasa (West-Celebes),1928-1942/6,"> pred. in NL, secr. ZCGK",~ 1926 F.B. Pellikaan † 1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136
"Billmann, H., zdl (D)",1883-1964,BM,Kameroen (BM),1910-1916,IM Zblad NHK 1964-5,~ F. Bernius † 1977,,STC,Ulu (P. Siau),1921-1928,> naar Dld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137
"Bink, Gerardus L., zwm > zdl (N)",1844-1899,ZWM/UZV,Manokwari (Papua),1870-1884 ,Mblad SZC 1920-4; Rds 335,~1870 Johanna El. Lobel (1840-1902+),,,,1884-1899,"375; Kamma, Ajaib",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138
"Bittner, Linus H., arts (VS)",1890-1959,EpMeth,"Medan, Cisarua (WJava), Zzh",±1920-1927,† in Los Angeles,~ Fern. Bernice Noel † 1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139
"Blecher, Friedrich, zdl. (D)",1866-1939,RMG,Zuid-Kalimantan,1897-1910,> werkt voor RMG in Dld,~ 1899 Hermine Henriette Chr. M. Graf † 1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140
"Bliek, A.J., zdl, (N)",1873-1946,NZV,Cideres (WJava),1905-1906,IM NZblad 1946-9,~ 1911 Johanna Sophia de Klerk † 1972,,,Meester Cornelis (Jatinegara),1906-1919,~ te Mr. Cornelis,,,,Sukabumi,1920-1926,verlof 1919-20,,,,"Bogor, Chinese gemeente",1926-1928,verlof 1928-29,,,,"Batavia, Chinese gemeente",1929-1935,,,,,,,,,,,,,,141
"Blinde, Joost Hendrik, zdl (N)",1873-1948,NZV,Pangharepan (WJava),1900-1901,IM NZblad 1948-10,~ (1) 1901 W.C.D. van Cuijlenburgh † 1902,,,Tasikmalaya (WJava),1901-1903,,~ (2) 1908 E.A. de Haan † 1909,,,Bandung,1903-1905,d.v. zdl. A. de Haan,~ (3) 1918 Gerdina C. van der Wilk † 1965,,,Pangharepan (WJava),1905-1906,,,,,Cianjur (WJava),1906-1912,"> NL, in dienst SZC",,,,,,,,,,,,,142
"Block, mw. Helene (D)",1874-1945,RMG,"NSumatra, Missionsschwester",1902-1922,> werkt voor RMG in Dld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143
"Blomberg, zr. Lamberta H. (N)",1903-1989,SZ,"Zzh Blora, verpleegster",1935-1942/3,> internering,,,VNZ,"Nw-Guinea, dir. Weeshuis Zd",1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144
"Böckmann, mw. Laura (D)",1844-1903,RMG,"Z-Kalim., Missionsschwester",1897-1903,± 1872-1894 ~ Hendrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145
"Bodaan, Laurens, zdl (N)",1878-1966,NZG,Kuta Jurung (Deli),1909-1916,,~ 1908 Antje Gerrit Koster † 1963,,,Kabanjahe (Deli),1916-1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146
"Boddé, J., zdl (N)",1849-1917,NZG,Semarang,1878-1879,Oenema 361,~ 1878 Sjoukje Deinum † 1934,,,Swaru (OJava),1879-1880,,,,,Mojowarno (OJava) > hp,1881,,,,,,,,,,,,,,,,,,,,,,,,,,147
"Bode, Werner A., zdl (D)",1890-1942,NZG,"Minahasa, hp, 1926 docent ",1922-1929,Swellengrebel II 108-115,~ 1922 L. Diederich,,,kweekschool te Kuranga,,,,,NBG,bijbelvertaler (NT),1929-1942,† met kapal Van Imhoff,,,,,,,,,,,,,,,,,,,,,,,,,148
"Bode, A. de, zdl (N)",1839-1873,UZV,(zou naar Bali),1864-1866,,~ [n.a.],,,Galela (Halmahera),1866-1870,,,,,Surabaya (op weg naar Leti),1870-1871,,,,UZV,Rote (NTT),1871-1873,,,,,,,,,,,,,,,,,,,,149
"Boer-de Raadt, zr. Sophia Maria Gerardina de (N)",1866-1949,ZGKN-S,verpleegster te Karuni,1926-1927,"* te Solo, † te Hengelo. Wed. van A.F.H.A. de Boer (~ 1892. † 1901), vervangt zr. Zigterman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150
"Boer, Pieter de (N)",1876-1961,DZV,"> Batavia, admin. Panti Cikini",... 1942/3,"z.v. R. de Boer, klz van P. Jansz. ",~ 1914 Susanna Richert † 1961,,,,,"Jensma 67-9, 81; Oenema",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151
"Boer, Reyer de, zdl (N).",1835-1891,Ermelo/SZ,Nyemoh (MJava ten N),1869-1887,"Oenema, passim","~ (1) 1868 Joh. Meke­len­kamp, † 1871",,,Salatiga en omstreken,1887-1891,,~ (2) 1873 Joh. M.E. Jansz. † Batavia 1931,,,,,d.v. P. Jansz,,,,,,,,,,,,,,,,,,,,,,,,,152
Boetzelaer van Asperen en Dubbel­-,1973-1956,NBG,"Batavia, Zendingsconsul",1906-1919,1911-1937 lid Eerste Kamer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153
"dam, C.W.T. baron van (N)",,,"bestuurslid NZG, STC enz. ",1920-1956,"Zie BLGNP II, 73",~ 1906 W.E. Thomassen à Thuessink † 1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154
"Bogaards, zr. Antje (N)",1913-,ZGKN-MJ,"Magelang, Zzh",1939-1940,"GZbl 1939, 82. Td in RA 1942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155
"Boger, F., zdl. (D)",1884-1942,BM,Kameroen (Afrika),1912-1915,IM NZblad 1942-4. ,~ H. Breuninger (1881-1951),,UZV,Duma (Halmahera),1921-1942,† met de Van Imhoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156
"Böhl, Bertha, diakones (D)",1886-1972,NM/SZ,"Blora, Zzh, verpleegster",1908-1919,,,,,,1932-1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157
"Bohlken, dr. S., arts (N)",1904-2000,NZG,Mojowarno (OJava),1932-1946,IM Vandaar sept. 2000,~ [1934?] J. Oorthuys † 1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158
"Bokma, zr. J. (N)",,UZV,Halmahera,1936-1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159
"Bokma, zr. Louisa Fred. (N)",1902-,NZV,Bandung en Purwakarta,1927-1929,,,,NZG,Kabanjahe en Sibolangit (Deli),1934-1935,> ~ Fr. Wilhelm Gunther ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160
"Boland, ds. B.J. (N)",1916-2003,VNZ/ZNHK,"WJava, pred. GKP",1946-1953 ,,~ 1945 G.J. Ormel † 2000,,,> werkzaam bij BPKGM,1954-1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161
"Bolt, zr. Melina (N)",1888-1981,ZGKN-MJ,"Kevumen, verpleegster",1915-1916,1916 ~ J.W. Oosterhuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162
"Bolwijn, ds. Albert (N)",1854-1935,ZCGK,Surabaya,1886-1896,> pred. in NL (GKN),~ 1885 El. Joh. Smit † 1944,,,,,"IM GZbl 1935, 75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163
"Bomas, Willem (N)",1904-1943,ZGKN-MJ,"Purbolinggo, admin. Zzh",1932-1942/3,Zie ZJB. † als krijgsgevangene,~ 1929 Joh. Jeronimus † 1976,,,,,"~ ""met de handschoen""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164
"Bonebakker, A., arts (N)",1895-1975,NZV,"Bandung, arts/dir. zh Immanuel",1930-1936,d.v. director J.W. Gunning ,~ C.C.J.H. Gunning † 1969,,,Bandung,1937-1942,"1942-45 internering, > NL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165
"Bone, mw. A.E. (N)",,NZV,"Bandung, hoofd hh zh Imman.",1932-±1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166
"Bonert, Alwine (D)",1910-,NM,"Ungaran, evang. onder vrouwen",1936-1940,10-5-1940 Ned. internering,,,,"idem Blora, 1940 geïnterneerd",1938-mei '40,1941-1947 in Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167
"Bonn, Peter, zdl. (D)",1851-1929,RMG,docent pred.opl. Pansurnapitu,1879-1892,> repatrieert,~ 1881 Kath. Heinz † 1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168
"Bonzel, J.H.M. van, zdl (N)",1892-1944,UZV,"Buli-Weda, Halmahera",1921-1929,IM NZblad 1945-11,~ 1921 J.H. Burger (1901-2001),,,Jailolo (Halmahera),1930-1942,verlof 1929-30. † in kamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169
"Boorsma, zr. W. (N)",1887-1939,ZGKN-MJ,"Yogyakarta, verpleegster",1921-1934,1934 ~ B. van Nijenhuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170
"Booy, J.J., ond. (N)",1892-1956,RMG,Dir. MULO Tarutung,1924-1942,,~ 1919 Geertje Kombrink 1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171
"Borch, Wilhelm, zdl. (D)",1870-1947,RMG,Zuid-Kalimantan,1899-1922,> werkt voor RMG in Dld,~ ±1903 Elisabeth Berchter † 1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172
"Borden, zr. G. van der (N)",1902-1984,GZB,"Rantepao, hoofdverpl. zh ""Elim""",1937-1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173
"Börger, Friedrichzdl., (D)",1878-1934,RMG,Sikakap (Mentawai-eilanden),1909-1930?,,~ 1910 Emilie Becker † 1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174
"Bormeister, J.F., zdl. (Rusland)",1784/5-1825,NZG,Buru,1822-1825,"Kruijf 107, 131",~ [di Ambon],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175
"Borst, L., ond. (N)",1877-1946,NZV,"Bandung, dir. guru-opleiding",1908-1920,,~ Clara Magd. Kup † 1956,,,"Bandung, leraar Chr. HIS/HCS",1920-1932,1932 pensioen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176
"Borutta, Ludwig, zdl (D)",1879-1959,RMG,Nias,1907-1932,,~ 1909 M. Höffken † 1962+,,NLGIUZ,Batu-eilanden,1922-1924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177
"Bos, mw. zr. D. (N)",,ZGKN-MJ,"Yogya, verpleegster Zzh",1934-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178
"Bos, Gerardus, ond. (N)",1896-1945,RMG,ond. HIS Pearaja (Tarutung) ,1929-1935 ,† 2-10-1945,~ 1925 Johanna Boot (geb. 1899),,,"Ambon, hoofd Chr. HIS",1936-1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179
"Bos, drs. Hilbrand, ond. (N)",1910-,ZGKN/SZC,"Solo, HIK, leraar biologie",1939-1942,"GZbl 1939, 163","~ 1938 B.J., Meijst",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180
"Bos, J. (N)",,mandiri?,"""zendeling te Medan""",±1914-±1933,"bron: Kleian, Adresboek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181
"Bos, Jan, zdl. (N)",1906-1981,RMG/VEG,zdl op Samosir,1931-1940,,~ Hedwig Neufeld (1908-1987),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182
"Bos, Sara Jacoba (N)",1909-1967,ZGKN-MJ,"MJava, evang. onder vrouwen",1931-1937,"> NL. GZbl 1906, 1931, 190",~ 1940 K.K. van der Molen,,,,,"Woerdt 202, 342 en, passim ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183
"Bos, zr. M.M. van den (N)",1902-1986,RMG/NZG,"Balige (Toba), verpl.",1936-1938,,,,,"Malang, evang. onder vrouwen",1939-1942,,,,,Jap. internering > in NL,1942-1948,,,,VNZ/ZNHK,"Hollandia (Papua), vrouwenw.",1948-1955,,,,,,,,,,,,,,,,,,,,184
"Bosch, Jan, ond. (N)",,RMG,leraar HIS Pearaja-Tarutung,1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185
"Boshuizen, Willem, ond. (N)",1896-1945,NZV,"Bandung, ond. > dir. MULO Zdg",1927-1942,† als krijgsgev. in Pakanbaru,~ 1921 A.P.J.S. van Benthem † 1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186
"Bosman, D.J., ond. (N)",1894-1967,ZGKN-MJ,"Solo, ond. Chr. HIK",1920-1942,1919 naar Java,~ 1918 Jannetje van der Linden † 1984,,,,,"Rds 859; GZbl 1934, 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187
"Bosman, dr. F.J., arts (N)",1898-1972,NZV,Purwakarta (WJava),1925-1942,"verlof 1932-34. GZbl 1926, 134",~ R.H.H. Schrieke † 1997,,,"geïnterneerd, > NL",1942-1945/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188
"Bossert, R., zdl (N)",1814-1889,NZG,Depok (WJava),1847-1848,"Kruijf 343, 680",~ 1840 Sara Geldophia de Lange † 1890,,,Tanawangko (Min),1848-1854,,"~ (RA 1849, p. 345, agaknya keliru]",,,Saparua (Mal) > hp,1854-1873,repatrieert Mei 1881,,,,,,,,,,,,,,,,,,,,,,,,,189
"Bosshardt, mw. M., ond. (N)", 1883-1945,SZ,"MJava, leraar guru-opl. Tingkir",1912-1922,† in het kamp Banyubiru (Am-,,,,hoofd Zendings-HIS Purwodadi,1922-1942, ­barawa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190
"Bot Jr, Kornelis Adr., zdl (N)",1903-1989,UZV,Buli-Weda (Halmahera) ,1929-1934,,~ 1929 Wilhelmina Mak † 1980,,,"Tobelo (Halm.), o.a. klappertuin",1934-1942,verlof 1936-37,,,,Jap. internering,1942-1945,repatrieert 1947,,,,,,,,,,,,,,,,,,,,,,,,,191
"Both, zr. G.A. (N)",1887-1926,ZGKN-MJ,Purworejo,1922-1926,† tgv longontsteking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192
"Boulogne, Bastiaan, zdl. (N)",1899-1974,ZDB,"Pengungsen (MJava), vervanger",1934-1942,geïntern. 1942/3-1945,~ 1928 Huibertje Alida 't Hart (1900-1993),,,van Cornelia Slagter,,Na 1945 naar NL > Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193
"Bout, D.C.A., zdl (N)",1883-1969,UZV,Fak-Fak (Papua),1913-1921,IM Zblad NHK 1969-11,~ 1913 A. Müller † 1969,,,Miei (Papua),1921-1922,verlof 1922-23,,,,"Serui (Yapen, Papua)",1924-1930,,,,,,,,,,,,,,,,,,,,,,,,,,194
"Bouwer, Pieter J. (N)",1892/3-1971 ,SZ,beheerder Lepra-Zh Donorodjo,1930-1946,,~ 1930 H. van der Pijl (1896-1957),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195
"Bovenkamp, J.R. van den, zdl (N)",1865-1901,STC,"Lirung (Talaud-eil.), zdl.",1892-1901,,~ 1892 Anna C.A.J. vd Wilde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196
"Bower, Harry C. (VS)",,EpMeth,Surabaya > Palembang,1912-±1935,,~ 1907 M. Crawford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197
